Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #7827
Sample Name,Palmitic Acid
Formula,C16H32O2
Molecular Weight (g/mol),256.419
Sample Weight (g),1.9000
Water Temp (deg C),22.10
Room Temp (deg C),22.13
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.018
=====,=====
Time (s),Temperature (C)
0.00,22.10
30.00,22.10
60.00,22.08
90.00,22.08
120.00,22.10
150.00,22.08
180.00,22.09
210.00,22.11
240.00,22.11
270.00,22.11
300.00,22.10
330.00,23.50
360.00,25.65
390.00,27.22
420.00,28.21
450.00,28.82
480.00,29.15
510.00,29.30
540.00,29.41
570.00,29.46
600.00,29.47
630.00,29.48
660.00,29.50
690.00,29.48
720.00,29.47
750.00,29.50
780.00,29.49
810.00,29.46
840.00,29.47
870.00,29.46
900.00,29.43
930.00,29.45
960.00,29.43
